pair,label,timeframe,timestamp,price,direction,confidence,stop_loss,take_profit,risk_reward_ratio,alerted,log_time
ETHUSD,ETH/USD,15m,2026-09-03T04:00:00,2406.25,HOLD,75,,,,False,2026-09-03T04:11:00.433860
XBTUSD,BTC/USD,15m,2026-09-03T04:00:00,77775.0,BUY,75,77515.21557297229,78467.7584720739,2.666666666666648,False,2026-09-03T04:11:00.919111
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T04:00:00,4437.9,HOLD,25,,,,False,2026-09-03T04:11:01.446544
ETHUSD,ETH/USD,15m,2026-09-03T04:15:00,2399.81,HOLD,75,,,,False,2026-09-03T04:15:20.457773
XBTUSD,BTC/USD,15m,2026-09-03T04:15:00,77580.5,BUY,75,77328.00395991412,78253.82277356237,2.666666666666705,False,2026-09-03T04:15:20.848538
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T04:15:00,4435.87,HOLD,25,,,,False,2026-09-03T04:15:21.193805
ETHUSD,ETH/USD,15m,2026-09-03T04:30:00,2397.95,HOLD,50,,,,False,2026-09-03T04:30:21.739020
XBTUSD,BTC/USD,15m,2026-09-03T04:30:00,77565.0,BUY,75,77321.27616778143,78214.93021924952,2.666666666666647,False,2026-09-03T04:30:22.060524
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T04:30:00,4439.58,HOLD,25,,,,False,2026-09-03T04:30:22.412805
ETHUSD,ETH/USD,15m,2026-09-03T04:45:00,2397.6,HOLD,50,,,,False,2026-09-03T04:45:20.972546
XBTUSD,BTC/USD,15m,2026-09-03T04:45:00,77567.5,HOLD,25,,,,False,2026-09-03T04:45:21.312640
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T04:45:00,4442.34,HOLD,25,,,,False,2026-09-03T04:45:21.623471
ETHUSD,ETH/USD,15m,2026-09-03T05:00:00,2406.8,BUY,75,2397.0543453841697,2432.788412308881,2.66666666666662,False,2026-09-03T05:00:23.696816
ETHUSD,ETH/USD,15m,2026-09-03T05:00:00,2406.8,BUY,75,2397.0543453841697,2432.788412308881,2.66666666666662,True,2026-09-03T05:00:23.393967,2026-09-03T05:00:24.068414
XBTUSD,BTC/USD,15m,2026-09-03T05:00:00,77742.7,BUY,75,77503.10003266827,78381.63324621794,2.666666666666687,False,2026-09-03T05:00:24.382685
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T05:00:00,4442.22,HOLD,25,,,,False,2026-09-03T05:00:24.721565
ETHUSD,ETH/USD,15m,2026-09-03T05:15:00,2401.76,HOLD,75,,,,False,2026-09-03T05:15:22.425122
XBTUSD,BTC/USD,15m,2026-09-03T05:15:00,77620.4,HOLD,25,,,,False,2026-09-03T05:15:22.986564
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T05:15:00,4433.58,HOLD,25,,,,False,2026-09-03T05:15:23.517840
ETHUSD,ETH/USD,15m,2026-09-03T05:30:00,2385.06,HOLD,25,,,,False,2026-09-03T05:30:29.464637
XBTUSD,BTC/USD,15m,2026-09-03T05:30:00,77218.1,HOLD,25,,,,False,2026-09-03T05:30:29.893214
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T05:30:00,4430.46,HOLD,25,,,,False,2026-09-03T05:30:30.329794
ETHUSD,ETH/USD,15m,2026-09-03T05:45:00,2394.39,HOLD,0,,,,False,2026-09-03T05:45:21.111745
XBTUSD,BTC/USD,15m,2026-09-03T05:45:00,77423.3,HOLD,0,,,,False,2026-09-03T05:45:21.459020
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T05:45:00,4434.75,HOLD,25,,,,False,2026-09-03T05:45:21.804372
ETHUSD,ETH/USD,15m,2026-09-03T05:45:00,2402.12,HOLD,0,,,,False,2026-09-03T05:54:26.546776
XBTUSD,BTC/USD,15m,2026-09-03T05:45:00,77668.8,HOLD,25,,,,False,2026-09-03T05:54:26.956111
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T05:45:00,4439.36,HOLD,25,,,,False,2026-09-03T05:54:27.307613
ETHUSD,ETH/USD,15m,2026-09-03T06:00:00,2402.88,HOLD,25,,,,False,2026-09-03T06:00:23.108310
XBTUSD,BTC/USD,15m,2026-09-03T06:00:00,77726.1,HOLD,25,,,,False,2026-09-03T06:00:23.696925
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T06:00:00,4437.27,HOLD,25,,,,False,2026-09-03T06:00:24.205659
ETHUSD,ETH/USD,15m,2026-09-03T06:15:00,2399.79,HOLD,0,,,,False,2026-09-03T06:15:23.576604
XBTUSD,BTC/USD,15m,2026-09-03T06:15:00,77662.5,HOLD,0,,,,False,2026-09-03T06:15:24.111118
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T06:15:00,4431.77,HOLD,25,,,,False,2026-09-03T06:15:24.616265
ETHUSD,ETH/USD,15m,2026-09-03T06:30:00,2406.34,BUY,75,2394.471155743555,2437.9902513505212,2.6666666666666923,False,2026-09-03T06:30:20.626432
XBTUSD,BTC/USD,15m,2026-09-03T06:30:00,77711.0,BUY,75,77423.2056831789,78478.45151152294,2.6666666666666496,False,2026-09-03T06:30:21.060970
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T06:30:00,4426.9,HOLD,0,,,,False,2026-09-03T06:30:21.490231
ETHUSD,ETH/USD,15m,2026-09-03T06:45:00,2407.5,BUY,75,2396.115101466619,2437.8597294223496,2.666666666666653,False,2026-09-03T06:45:27.758638
XBTUSD,BTC/USD,15m,2026-09-03T06:45:00,77760.1,BUY,75,77480.16590848459,78506.59091070779,2.666666666666684,False,2026-09-03T06:45:28.302965
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T06:45:00,4430.27,HOLD,25,,,,False,2026-09-03T06:45:28.774396
ETHUSD,ETH/USD,15m,2026-09-03T07:00:00,2406.62,BUY,75,2395.7796873830407,2435.527500311892,2.6666666666667367,False,2026-09-03T07:00:23.689047
XBTUSD,BTC/USD,15m,2026-09-03T07:00:00,77771.2,BUY,75,77505.81607361718,78478.89047035416,2.6666666666666665,False,2026-09-03T07:00:24.025035
PAXGUSD,Gold (PAXG/USD),15m,2026-09-03T07:00:00,4426.07,HOLD,0,,,,False,2026-09-03T07:00:24.367706
